attack, process_id, process_name, label
atlasv2/h1-s1, 1024, c:\program files\confer\scanner\upd.exe, benign
atlasv2/h1-s1, 2192, c:\program files\mozilla firefox\firefox.exe, attack
atlasv2/h1-s1, 2604, c:\program files\vmware\vmware tools\tpautoconnsvc.exe, benign
atlasv2/h1-s1, 1392, c:\windows\system32\spoolsv.exe, benign
atlasv2/h1-s1, 3864, c:\program files\confer\repwmiutils.exe, benign
atlasv2/h1-s1, 1792, c:\program files\confer\repmgr.exe, benign
atlasv2/h1-s1, 3804, c:\program files\confer\repwmiutils.exe, benign
atlasv2/h1-s1, 2740, c:\windows\system32\conhost.exe, benign
atlasv2/h1-s1, 388, c:\windows\system32\csrss.exe, benign
atlasv2/h1-s1, 2028, c:\windows\sysmon.exe, contaminated
atlasv2/h1-s1, 968, c:\program files\confer\repwmiutils.exe, benign
atlasv2/h1-s1, 2236, c:\program files\confer\scanner\scanhost.exe, attack
atlasv2/h1-s1, 980, c:\windows\system32\svchost.exe, attack
atlasv2/h1-s1, 3100, c:\program files\confer\repwmiutils.exe, benign
atlasv2/h1-s1, 2516, c:\program files\confer\repwmiutils.exe, benign
atlasv2/h1-s1, 2300, c:\program files\confer\repwmiutils.exe, benign
atlasv2/h1-s1, 2804, c:\program files\confer\repwmiutils.exe, benign
atlasv2/h1-s1, 1732, c:\program files\confer\repwmiutils.exe, benign
atlasv2/h1-s1, 2384, c:\program files\confer\repwmiutils.exe, benign
atlasv2/h1-s1, 1960, c:\program files\confer\repwmiutils.exe, benign
atlasv2/h1-s1, 2204, c:\program files\confer\repwmiutils.exe, benign
atlasv2/h1-s1, 1888, c:\program files\confer\repwmiutils.exe, benign
atlasv2/h1-s1, 3024, c:\program files\confer\repwmiutils.exe, benign
atlasv2/h1-s1, 3488, c:\program files\confer\repwmiutils.exe, benign
atlasv2/h1-s1, 1020, c:\program files\confer\repwmiutils.exe, benign
atlasv2/h1-s1, 991, c:\windows\system32\lsass.exe, attack
atlasv2/h1-s1, 3684, c:\program files\confer\repwmiutils.exe, benign
