section,run_id,method,n,metric,mean,std
chrono_main,r004_tail_risk_linear_atlasv2_public,LR-TailRisk,3,AUPRC,0.5332139873493257,0.00950909676812445
chrono_main,r004_tail_risk_linear_atlasv2_public,LR-TailRisk,3,LeadTime@P80,5.0,0.0
chrono_main,r004_tail_risk_linear_atlasv2_public,LR-TailRisk,3,Brier,0.036248945248204316,0.00017591121059325058
chrono_main,r004_tail_risk_linear_atlasv2_public,LR-TailRisk,3,Analog-Fidelity@5,,
chrono_main,r004_tail_risk_linear_atlasv2_public,LR-TailRisk,3,TTE-Err@1,,
chrono_main,r004_tail_risk_linear_atlasv2_public,LR-TailRisk,3,AUROC,,
chrono_main,r004_tail_risk_linear_atlasv2_public,LR-TailRisk,3,LogLoss,,
chrono_main,r004_tail_risk_linear_atlasv2_public,LR-TailRisk,3,ECE@10,,
chrono_main,r004_tail_risk_linear_atlasv2_public,LR-TailRisk,3,BestF1,,
chrono_main,r004_tail_risk_linear_atlasv2_public,LR-TailRisk,3,Precision@P80,1.0,0.0
chrono_main,r004_tail_risk_linear_atlasv2_public,LR-TailRisk,3,Recall@P80,0.14285714285714285,0.0
chrono_main,r020_dlinear_forecaster_atlasv2_public,DLinear-Forecaster,3,AUPRC,0.4902579213503583,0.016600512219271567
chrono_main,r020_dlinear_forecaster_atlasv2_public,DLinear-Forecaster,3,LeadTime@P80,5.0,0.0
chrono_main,r020_dlinear_forecaster_atlasv2_public,DLinear-Forecaster,3,Brier,0.035334853568734836,0.0008592660566197968
chrono_main,r020_dlinear_forecaster_atlasv2_public,DLinear-Forecaster,3,Analog-Fidelity@5,,
chrono_main,r020_dlinear_forecaster_atlasv2_public,DLinear-Forecaster,3,TTE-Err@1,,
chrono_main,r020_dlinear_forecaster_atlasv2_public,DLinear-Forecaster,3,AUROC,,
chrono_main,r020_dlinear_forecaster_atlasv2_public,DLinear-Forecaster,3,LogLoss,,
chrono_main,r020_dlinear_forecaster_atlasv2_public,DLinear-Forecaster,3,ECE@10,,
chrono_main,r020_dlinear_forecaster_atlasv2_public,DLinear-Forecaster,3,BestF1,,
chrono_main,r020_dlinear_forecaster_atlasv2_public,DLinear-Forecaster,3,Precision@P80,1.0,0.0
