rater_id,pair_id,dataset,query_ref,sampling_stratum,score_band_blinded,query_active_channels,query_high_risk_channels,query_stage_profile,set_a_analog1_ref,set_a_analog1_active_channels,set_a_analog1_high_risk_channels,set_a_analog1_stage_profile,set_a_analog1_historical_outcome,set_a_analog1_time_to_escalation_min,set_a_analog2_ref,set_a_analog2_active_channels,set_a_analog2_high_risk_channels,set_a_analog2_stage_profile,set_a_analog2_historical_outcome,set_a_analog2_time_to_escalation_min,set_a_analog3_ref,set_a_analog3_active_channels,set_a_analog3_high_risk_channels,set_a_analog3_stage_profile,set_a_analog3_historical_outcome,set_a_analog3_time_to_escalation_min,set_a_analog4_ref,set_a_analog4_active_channels,set_a_analog4_high_risk_channels,set_a_analog4_stage_profile,set_a_analog4_historical_outcome,set_a_analog4_time_to_escalation_min,set_a_analog5_ref,set_a_analog5_active_channels,set_a_analog5_high_risk_channels,set_a_analog5_stage_profile,set_a_analog5_historical_outcome,set_a_analog5_time_to_escalation_min,set_a_relevance_1_5,set_a_supportiveness_1_5,set_a_actionability_1_5,set_a_explanation_quality_1_5,set_a_misleading_safety_1_5,set_b_analog1_ref,set_b_analog1_active_channels,set_b_analog1_high_risk_channels,set_b_analog1_stage_profile,set_b_analog1_historical_outcome,set_b_analog1_time_to_escalation_min,set_b_analog2_ref,set_b_analog2_active_channels,set_b_analog2_high_risk_channels,set_b_analog2_stage_profile,set_b_analog2_historical_outcome,set_b_analog2_time_to_escalation_min,set_b_analog3_ref,set_b_analog3_active_channels,set_b_analog3_high_risk_channels,set_b_analog3_stage_profile,set_b_analog3_historical_outcome,set_b_analog3_time_to_escalation_min,set_b_analog4_ref,set_b_analog4_active_channels,set_b_analog4_high_risk_channels,set_b_analog4_stage_profile,set_b_analog4_historical_outcome,set_b_analog4_time_to_escalation_min,set_b_analog5_ref,set_b_analog5_active_channels,set_b_analog5_high_risk_channels,set_b_analog5_stage_profile,set_b_analog5_historical_outcome,set_b_analog5_time_to_escalation_min,set_b_relevance_1_5,set_b_supportiveness_1_5,set_b_actionability_1_5,set_b_explanation_quality_1_5,set_b_misleading_safety_1_5,preferred_set,preference_confidence_1_5,free_text_rationale
rater_01,pair_4719405c6153,ATLASv2 held-out-family,q_40d8a737e98b,low_score_negative,low_quartile,recon,none,not_provided,a_fb0cd9841b5d,recon,none,not_provided,not_escalated_within_30m,not_applicable,a_096bd639efa6,recon,none,not_provided,not_escalated_within_30m,not_applicable,a_012b9261bd71,recon;persistence,persistence,not_provided,not_escalated_within_30m,not_applicable,a_7d9514dbe2ad,recon;execution,execution,not_provided,not_escalated_within_30m,not_applicable,a_4d0ce74896b2,recon,none,not_provided,not_escalated_within_30m,not_applicable,,,,,,a_fb0cd9841b5d,recon,none,not_provided,not_escalated_within_30m,not_applicable,a_096bd639efa6,recon,none,not_provided,not_escalated_within_30m,not_applicable,a_012b9261bd71,recon;persistence,persistence,not_provided,not_escalated_within_30m,not_applicable,a_7d9514dbe2ad,recon;execution,execution,not_provided,not_escalated_within_30m,not_applicable,a_136dc58ff61a,recon;execution,execution,not_provided,not_escalated_within_30m,not_applicable,,,,,,,,
rater_01,pair_877b8c3525df,ATLASv2 held-out-family,q_3cf393418dc3,high_score_negative,middle,recon;auth_abuse;execution,execution,not_provided,a_d1ad8854ead3,recon;auth_abuse;execution,execution,not_provided,not_escalated_within_30m,not_applicable,a_c055fe89fcce,recon;auth_abuse;execution,execution,not_provided,not_escalated_within_30m,not_applicable,a_41c458b8ccdc,recon;auth_abuse;execution;persistence,execution;persistence,not_provided,not_escalated_within_30m,not_applicable,a_e5787cc89a5f,recon;auth_abuse;execution,execution,not_provided,not_escalated_within_30m,not_applicable,a_f39e5ca3fd78,recon;auth_abuse;execution,execution,not_provided,not_escalated_within_30m,not_applicable,,,,,,a_d1ad8854ead3,recon;auth_abuse;execution,execution,not_provided,not_escalated_within_30m,not_applicable,a_c055fe89fcce,recon;auth_abuse;execution,execution,not_provided,not_escalated_within_30m,not_applicable,a_41c458b8ccdc,recon;auth_abuse;execution,execution,not_provided,not_escalated_within_30m,not_applicable,a_e5787cc89a5f,recon;auth_abuse;execution;persistence;collection_exfil,execution;persistence;collection_exfil,not_provided,not_escalated_within_30m,not_applicable,a_f39e5ca3fd78,recon;auth_abuse;execution,execution,not_provided,not_escalated_within_30m,not_applicable,,,,,,,,
rater_01,pair_f83bdf6aff6e,AIT-ADS chronology,q_7f86f70f8ab8,positive_or_high_score_tp,top_decile,auth_abuse;priv_esc,priv_esc,cracking;dirb;dnsteal;network_scans;privilege_escalation;reverse_shell;service_scans;wpscan,a_a567deab8a40,priv_esc,priv_esc,cracking;dirb;dnsteal;network_scans;privilege_escalation;service_scans;wpscan,escalated_within_30m,10.0,a_4877b93e5be0,priv_esc,priv_esc,cracking;dirb;dnsteal;network_scans;privilege_escalation;service_scans;wpscan,escalated_within_30m,10.0,a_49edaaa0de2b,priv_esc,priv_esc,cracking;dirb;dnsteal;network_scans;privilege_escalation;service_scans;wpscan,escalated_within_30m,10.0,a_77d2db11dd13,priv_esc,priv_esc,cracking;dirb;dnsteal;network_scans;privilege_escalation;service_scans;wpscan,escalated_within_30m,10.0,a_658e0aab2564,priv_esc,priv_esc,cracking;dirb;dnsteal;network_scans;privilege_escalation;service_scans;wpscan,escalated_within_30m,5.0,,,,,,a_a567deab8a40,auth_abuse;priv_esc,priv_esc,cracking;dirb;dnsteal;network_scans;privilege_escalation;service_scans;wpscan,escalated_within_30m,15.0,a_4877b93e5be0,priv_esc,priv_esc,cracking;dirb;dnsteal;network_scans;privilege_escalation;service_scans;wpscan,escalated_within_30m,20.0,a_49edaaa0de2b,priv_esc,priv_esc,cracking;dirb;dnsteal;network_scans;privilege_escalation;service_scans;wpscan,escalated_within_30m,15.0,a_77d2db11dd13,priv_esc,priv_esc,cracking;dirb;dnsteal;network_scans;privilege_escalation;service_scans;wpscan,escalated_within_30m,20.0,a_658e0aab2564,auth_abuse;priv_esc,priv_esc,cracking;dirb;dnsteal;network_scans;privilege_escalation;service_scans;wpscan,escalated_within_30m,20.0,,,,,,,,
rater_01,pair_4fbef02c6d78,ATLASv2 held-out-family,q_7df6e23098fa,middle_score_ambiguous,middle,auth_abuse;execution,execution,not_provided,a_3080978b34cf,execution,execution,not_provided,not_escalated_within_30m,not_applicable,a_096bd639efa6,execution,execution,not_provided,not_escalated_within_30m,not_applicable,a_e506fa2ae244,execution,execution,not_provided,not_escalated_within_30m,not_applicable,a_5ff809f2963a,execution,execution,not_provided,not_escalated_within_30m,not_applicable,a_17dfbd767041,execution,execution,not_provided,not_escalated_within_30m,not_applicable,,,,,,a_3080978b34cf,execution,execution,not_provided,not_escalated_within_30m,not_applicable,a_096bd639efa6,execution,execution,not_provided,not_escalated_within_30m,not_applicable,a_449d78162bc3,execution,execution,not_provided,not_escalated_within_30m,not_applicable,a_5ff809f2963a,execution,execution,not_provided,not_escalated_within_30m,not_applicable,a_17dfbd767041,execution,execution,not_provided,not_escalated_within_30m,not_applicable,,,,,,,,
rater_01,pair_a19b471c9ea3,ATLASv2 held-out-family,q_40d8a737e98b,middle_score_ambiguous,low_quartile,recon;execution,execution,not_provided,a_fb0cd9841b5d,recon;execution,execution,not_provided,not_escalated_within_30m,not_applicable,a_f2cbfab81d7a,recon;execution,execution,not_provided,not_escalated_within_30m,not_applicable,a_012b9261bd71,recon;execution,execution,not_provided,not_escalated_within_30m,not_applicable,a_5ff809f2963a,none,none,not_provided,not_escalated_within_30m,not_applicable,a_c6bd8db95164,none,none,not_provided,not_escalated_within_30m,not_applicable,,,,,,a_fb0cd9841b5d,recon;execution,execution,not_provided,not_escalated_within_30m,not_applicable,a_f2cbfab81d7a,recon;execution,execution,not_provided,not_escalated_within_30m,not_applicable,a_012b9261bd71,recon;execution,execution,not_provided,not_escalated_within_30m,not_applicable,a_828f30105203,execution,execution,not_provided,not_escalated_within_30m,not_applicable,a_1633ad409600,execution,execution,not_provided,not_escalated_within_30m,not_applicable,,,,,,,,
rater_01,pair_2bf998d91055,AIT-ADS chronology,q_b45325305605,high_score_negative,top_decile,recon;auth_abuse;execution;lateral_move;c2,execution;lateral_move;c2,dirb;dnsteal;privilege_escalation;reverse_shell;service_scans;service_stop;webshell;wpscan,a_26e0838cc454,recon;auth_abuse;execution;persistence;lateral_move;c2,execution;persistence;lateral_move;c2,cracking;dirb;dnsteal;privilege_escalation;reverse_shell;service_scans;service_stop;webshell;wpscan,escalated_within_30m,20.0,a_c9187082cd5d,recon;auth_abuse;execution;persistence;lateral_move;c2,execution;persistence;lateral_move;c2,cracking;dirb;dnsteal;privilege_escalation;reverse_shell;service_scans;service_stop;webshell;wpscan,escalated_within_30m,25.0,a_786dc2f37138,recon;auth_abuse;execution;persistence;lateral_move;c2,execution;persistence;lateral_move;c2,cracking;dirb;dnsteal;privilege_escalation;reverse_shell;service_scans;service_stop;webshell;wpscan,escalated_within_30m,30.0,a_f8a1e9fca5ab,recon;auth_abuse;execution;lateral_move;c2,execution;lateral_move;c2,cracking;dirb;dnsteal;privilege_escalation;reverse_shell;service_scans;service_stop;webshell;wpscan,not_escalated_within_30m,not_applicable,a_4d05f3c73ee6,recon;auth_abuse;execution;lateral_move;c2,execution;lateral_move;c2,cracking;dirb;dnsteal;privilege_escalation;reverse_shell;service_scans;service_stop;webshell;wpscan,not_escalated_within_30m,not_applicable,,,,,,a_26e0838cc454,priv_esc;lateral_move,priv_esc;lateral_move,cracking;dirb;dnsteal;privilege_escalation;reverse_shell;service_scans;service_stop;webshell;wpscan,escalated_within_30m,25.0,a_ed05afd10eec,execution;lateral_move,execution;lateral_move,cracking;dirb;dnsteal;network_scans;privilege_escalation;reverse_shell;service_scans;webshell;wpscan,not_escalated_within_30m,not_applicable,a_49edaaa0de2b,execution,execution,cracking;dirb;dnsteal;network_scans;privilege_escalation;service_scans;wpscan,not_escalated_within_30m,not_applicable,a_3f475f7fdeb9,auth_abuse;execution,execution,cracking;dirb;dnsteal;network_scans;privilege_escalation;reverse_shell;service_scans;webshell;wpscan,not_escalated_within_30m,not_applicable,a_46616b6c254e,priv_esc,priv_esc,cracking;dirb;dnsteal;privilege_escalation;reverse_shell;service_scans;service_stop;webshell;wpscan,not_escalated_within_30m,not_applicable,,,,,,,,
rater_01,pair_8ef0619c305f,ATLASv2 held-out-family,q_7df6e23098fa,low_score_negative,low_quartile,recon;execution,execution,not_provided,a_87f63a327c21,recon;execution,execution,not_provided,not_escalated_within_30m,not_applicable,a_f2cbfab81d7a,recon;auth_abuse;execution,execution,not_provided,not_escalated_within_30m,not_applicable,a_e506fa2ae244,recon;auth_abuse;execution,execution,not_provided,not_escalated_within_30m,not_applicable,a_e5787cc89a5f,recon;auth_abuse;execution;persistence;collection_exfil,execution;persistence;collection_exfil,not_provided,not_escalated_within_30m,not_applicable,a_f39e5ca3fd78,recon;execution,execution,not_provided,not_escalated_within_30m,not_applicable,,,,,,a_87f63a327c21,recon;execution,execution,not_provided,not_escalated_within_30m,not_applicable,a_096bd639efa6,recon;execution,execution,not_provided,not_escalated_within_30m,not_applicable,a_41c458b8ccdc,recon;auth_abuse;execution,execution,not_provided,not_escalated_within_30m,not_applicable,a_e5787cc89a5f,recon;execution,execution,not_provided,not_escalated_within_30m,not_applicable,a_bc6c00eba378,recon;execution,execution,not_provided,not_escalated_within_30m,not_applicable,,,,,,,,
rater_01,pair_7603dd16bda1,ATLASv2 held-out-family,q_3cf393418dc3,middle_score_ambiguous,low_quartile,recon;execution,execution,not_provided,a_87f63a327c21,recon;execution,execution,not_provided,not_escalated_within_30m,not_applicable,a_15df95c2f8c0,recon;execution,execution,not_provided,not_escalated_within_30m,not_applicable,a_41c458b8ccdc,recon;auth_abuse;execution;persistence;collection_exfil,execution;persistence;collection_exfil,not_provided,not_escalated_within_30m,not_applicable,a_e5787cc89a5f,recon;auth_abuse;execution;persistence;collection_exfil,execution;persistence;collection_exfil,not_provided,not_escalated_within_30m,not_applicable,a_f39e5ca3fd78,recon;execution;persistence,execution;persistence,not_provided,not_escalated_within_30m,not_applicable,,,,,,a_87f63a327c21,recon;execution,execution,not_provided,not_escalated_within_30m,not_applicable,a_15df95c2f8c0,recon;execution,execution,not_provided,not_escalated_within_30m,not_applicable,a_c7f67a8f67c3,recon,none,not_provided,not_escalated_within_30m,not_applicable,a_e5787cc89a5f,recon;execution;persistence,execution;persistence,not_provided,not_escalated_within_30m,not_applicable,a_f39e5ca3fd78,recon;execution,execution,not_provided,not_escalated_within_30m,not_applicable,,,,,,,,
rater_01,pair_ece0cb73dc13,ATLASv2 held-out-family,q_40d8a737e98b,inactive_stratified_fill,middle,none,none,not_provided,a_fb0cd9841b5d,none,none,not_provided,not_escalated_within_30m,not_applicable,a_e8561a705647,none,none,not_provided,not_escalated_within_30m,not_applicable,a_ad6e115bf692,none,none,not_provided,not_escalated_within_30m,not_applicable,a_5ff809f2963a,none,none,not_provided,not_escalated_within_30m,not_applicable,a_c6bd8db95164,none,none,not_provided,not_escalated_within_30m,not_applicable,,,,,,a_fb0cd9841b5d,none,none,not_provided,not_escalated_within_30m,not_applicable,a_e8561a705647,none,none,not_provided,not_escalated_within_30m,not_applicable,a_ad6e115bf692,none,none,not_provided,not_escalated_within_30m,not_applicable,a_5ff809f2963a,none,none,not_provided,not_escalated_within_30m,not_applicable,a_c6bd8db95164,none,none,not_provided,not_escalated_within_30m,not_applicable,,,,,,,,
rater_01,pair_c9f23cdfa59d,AIT-ADS chronology,q_8af5d10a5382,middle_score_ambiguous,middle,auth_abuse;execution,execution,dirb;dnsteal;network_scans;privilege_escalation;reverse_shell;service_scans;webshell;wpscan,a_b01eafd07863,auth_abuse;execution,execution,cracking;dirb;dnsteal;network_scans;privilege_escalation;reverse_shell;service_scans;webshell;wpscan,not_escalated_within_30m,not_applicable,a_ed05afd10eec,auth_abuse;execution,execution,cracking;dirb;dnsteal;network_scans;privilege_escalation;reverse_shell;service_scans;webshell;wpscan,not_escalated_within_30m,not_applicable,a_49edaaa0de2b,auth_abuse;execution,execution,cracking;dirb;dnsteal;network_scans;privilege_escalation;service_scans;wpscan,not_escalated_within_30m,not_applicable,a_3f475f7fdeb9,auth_abuse;execution,execution,cracking;dirb;dnsteal;network_scans;privilege_escalation;reverse_shell;service_scans;webshell;wpscan,not_escalated_within_30m,not_applicable,a_54f23907fc37,auth_abuse;execution,execution,cracking;dirb;dnsteal;network_scans;privilege_escalation;reverse_shell;service_scans;webshell;wpscan,not_escalated_within_30m,not_applicable,,,,,,a_c835e427b26b,auth_abuse;execution,execution,cracking;dirb;dnsteal;network_scans;privilege_escalation;reverse_shell;service_scans;webshell;wpscan,not_escalated_within_30m,not_applicable,a_ed05afd10eec,auth_abuse;execution,execution,cracking;dirb;dnsteal;network_scans;privilege_escalation;reverse_shell;service_scans;webshell;wpscan,not_escalated_within_30m,not_applicable,a_2b55edae91b0,auth_abuse;execution,execution,cracking;dirb;dnsteal;network_scans;privilege_escalation;reverse_shell;service_scans;webshell;wpscan,not_escalated_within_30m,not_applicable,a_4e656cba3710,auth_abuse;execution,execution,cracking;dirb;dnsteal;network_scans;privilege_escalation;reverse_shell;service_scans;webshell;wpscan,not_escalated_within_30m,not_applicable,a_f6005d833bd5,auth_abuse;execution,execution,cracking;dirb;dnsteal;network_scans;privilege_escalation;reverse_shell;service_scans;webshell;wpscan,not_escalated_within_30m,not_applicable,,,,,,,,
