item_id,dataset,query_ref,score_band,query_active_channels,query_high_risk_channels,query_stage_profile,rating_semantic_similarity_0_2,rating_shared_high_risk_precursor_0_1,rating_supports_escalation_0_2,rating_misleading_0_1,rating_confidence_1_5,free_text_rationale,analog1_ref,analog1_active_channels,analog1_high_risk_channels,analog1_stage_profile,analog2_ref,analog2_active_channels,analog2_high_risk_channels,analog2_stage_profile,analog3_ref,analog3_active_channels,analog3_high_risk_channels,analog3_stage_profile,analog4_ref,analog4_active_channels,analog4_high_risk_channels,analog4_stage_profile,analog5_ref,analog5_active_channels,analog5_high_risk_channels,analog5_stage_profile
item_00a393875e28,AIT-ADS chronology,q_3d64d7f122be,middle,auth_abuse;execution,execution,dirb;dnsteal;network_scans;privilege_escalation;reverse_shell;service_scans;webshell;wpscan,,,,,,,a_6d3c9cef6a6b,auth_abuse;execution,execution,cracking;dirb;dnsteal;network_scans;privilege_escalation;reverse_shell;service_scans;webshell;wpscan,a_6fa9c3c2b88f,auth_abuse;execution,execution,cracking;dirb;dnsteal;network_scans;privilege_escalation;reverse_shell;service_scans;webshell;wpscan,a_fe9cea652da4,auth_abuse;execution,execution,cracking;dirb;dnsteal;network_scans;privilege_escalation;reverse_shell;service_scans;webshell;wpscan,a_1b1e8c062710,auth_abuse;execution,execution,cracking;dirb;dnsteal;network_scans;privilege_escalation;reverse_shell;service_scans;webshell;wpscan,a_194ff82c2264,auth_abuse;execution,execution,cracking;dirb;dnsteal;network_scans;privilege_escalation;reverse_shell;service_scans;webshell;wpscan
item_577c40ce48bc,AIT-ADS chronology,q_3d64d7f122be,middle,auth_abuse;execution,execution,dirb;dnsteal;network_scans;privilege_escalation;reverse_shell;service_scans;webshell;wpscan,,,,,,,a_6d3c9cef6a6b,auth_abuse;execution,execution,cracking;dirb;dnsteal;network_scans;privilege_escalation;reverse_shell;service_scans;webshell;wpscan,a_6fa9c3c2b88f,auth_abuse;execution,execution,cracking;dirb;dnsteal;network_scans;privilege_escalation;reverse_shell;service_scans;webshell;wpscan,a_fe9cea652da4,auth_abuse;execution,execution,cracking;dirb;dnsteal;network_scans;privilege_escalation;reverse_shell;service_scans;webshell;wpscan,a_1b1e8c062710,auth_abuse;execution,execution,cracking;dirb;dnsteal;network_scans;privilege_escalation;reverse_shell;service_scans;webshell;wpscan,a_194ff82c2264,auth_abuse;execution,execution,cracking;dirb;dnsteal;network_scans;privilege_escalation;reverse_shell;service_scans;webshell;wpscan
item_1be6dbfba25d,AIT-ADS chronology,q_e6f83fa182ca,top_decile,auth_abuse;priv_esc,priv_esc,cracking;dirb;dnsteal;network_scans;privilege_escalation;reverse_shell;service_scans;wpscan,,,,,,,a_3507df9d5c34,priv_esc,priv_esc,cracking;dirb;dnsteal;network_scans;privilege_escalation;service_scans;wpscan,a_35fa0971d50a,auth_abuse;priv_esc,priv_esc,cracking;dirb;dnsteal;network_scans;privilege_escalation;service_scans;wpscan,a_9b244123a640,auth_abuse,none,cracking;dirb;dnsteal;network_scans;privilege_escalation;service_scans;wpscan,a_35f696c3b63d,auth_abuse,none,cracking;dirb;dnsteal;network_scans;privilege_escalation;service_scans;wpscan,a_d68e36f78bdb,auth_abuse;execution;priv_esc,execution;priv_esc,cracking;dirb;dnsteal;network_scans;privilege_escalation;service_scans;wpscan
item_e20581b86552,ATLASv2 held-out-family,q_b4fc24ac91ca,low_quartile,recon;execution,execution,not_provided,,,,,,,a_c27fb80777e2,recon;execution,execution,not_provided,a_347a5c3321e7,recon;auth_abuse;execution,execution,not_provided,a_64300e9697de,recon;auth_abuse;execution,execution,not_provided,a_4cb2a539f5c5,recon;auth_abuse;execution;persistence;collection_exfil,execution;persistence;collection_exfil,not_provided,a_1e3a95490cd3,recon;execution,execution,not_provided
item_08075401efa5,AIT-ADS chronology,q_4758ad64667f,top_decile,priv_esc,priv_esc,dirb;dnsteal;privilege_escalation;reverse_shell;service_scans;service_stop;webshell;wpscan,,,,,,,a_aa26c68c0427,priv_esc,priv_esc,cracking;dirb;dnsteal;privilege_escalation;reverse_shell;service_scans;service_stop;webshell;wpscan,a_8d547d1e2638,priv_esc,priv_esc,cracking;dirb;dnsteal;privilege_escalation;reverse_shell;service_scans;service_stop;webshell;wpscan,a_e1f98400c34f,priv_esc,priv_esc,cracking;dirb;dnsteal;privilege_escalation;reverse_shell;service_scans;service_stop;webshell;wpscan,a_bb18ae5f8cb0,priv_esc,priv_esc,cracking;dirb;dnsteal;privilege_escalation;reverse_shell;service_scans;service_stop;webshell;wpscan,a_285695e9d9c6,priv_esc,priv_esc,cracking;dirb;dnsteal;privilege_escalation;reverse_shell;service_scans;service_stop;webshell;wpscan
item_8ed7cc0b7e17,AIT-ADS chronology,q_e6f83fa182ca,top_decile,priv_esc,priv_esc,cracking;dirb;dnsteal;network_scans;privilege_escalation;reverse_shell;service_scans;wpscan,,,,,,,a_8dd6a4b13b99,priv_esc,priv_esc,cracking;dirb;dnsteal;privilege_escalation;reverse_shell;service_scans;service_stop;webshell;wpscan,a_8d547d1e2638,priv_esc,priv_esc,cracking;dirb;dnsteal;privilege_escalation;reverse_shell;service_scans;service_stop;webshell;wpscan,a_abcb1b005c57,priv_esc,priv_esc,cracking;dirb;dnsteal;privilege_escalation;reverse_shell;service_scans;service_stop;webshell;wpscan,a_bb18ae5f8cb0,priv_esc,priv_esc,cracking;dirb;dnsteal;privilege_escalation;reverse_shell;service_scans;service_stop;webshell;wpscan,a_285695e9d9c6,priv_esc,priv_esc,cracking;dirb;dnsteal;privilege_escalation;reverse_shell;service_scans;service_stop;webshell;wpscan
item_3c29abd854ae,AIT-ADS chronology,q_e6f83fa182ca,middle,auth_abuse;execution,execution,cracking;dirb;dnsteal;network_scans;privilege_escalation;reverse_shell;service_scans;wpscan,,,,,,,a_51529f6561ed,auth_abuse;execution,execution,cracking;dirb;dnsteal;network_scans;privilege_escalation;reverse_shell;service_scans;webshell;wpscan,a_5e0523330561,auth_abuse;execution,execution,cracking;dirb;dnsteal;network_scans;privilege_escalation;reverse_shell;service_scans;webshell;wpscan,a_9b244123a640,auth_abuse;execution,execution,cracking;dirb;dnsteal;network_scans;privilege_escalation;service_scans;wpscan,a_35f696c3b63d,auth_abuse;execution,execution,cracking;dirb;dnsteal;network_scans;privilege_escalation;service_scans;wpscan,a_194ff82c2264,auth_abuse;execution,execution,cracking;dirb;dnsteal;network_scans;privilege_escalation;reverse_shell;service_scans;webshell;wpscan
item_927dd1585641,ATLASv2 held-out-family,q_f70e60630ecd,middle,auth_abuse;execution,execution,not_provided,,,,,,,a_ac41164c7865,execution,execution,not_provided,a_1535303c24de,execution,execution,not_provided,a_64300e9697de,execution,execution,not_provided,a_06808402b0ec,execution,execution,not_provided,a_02d885859505,execution,execution,not_provided
item_8d673495bdeb,ATLASv2 held-out-family,q_8e3c5f3cbc3c,middle,none,none,not_provided,,,,,,,a_0d5cf2d4e68b,none,none,not_provided,a_cb05b7c254cc,none,none,not_provided,a_9e1735abb653,none,none,not_provided,a_06808402b0ec,none,none,not_provided,a_15d2b2a6998f,none,none,not_provided
item_d59ef854a348,AIT-ADS chronology,q_4758ad64667f,top_decile,priv_esc,priv_esc,dirb;dnsteal;privilege_escalation;reverse_shell;service_scans;service_stop;webshell;wpscan,,,,,,,a_8dd6a4b13b99,priv_esc,priv_esc,cracking;dirb;dnsteal;privilege_escalation;reverse_shell;service_scans;service_stop;webshell;wpscan,a_285159b337d1,priv_esc,priv_esc,cracking;dirb;dnsteal;privilege_escalation;reverse_shell;service_scans;service_stop;webshell;wpscan,a_abcb1b005c57,priv_esc,priv_esc,cracking;dirb;dnsteal;privilege_escalation;reverse_shell;service_scans;service_stop;webshell;wpscan,a_5de97807899a,priv_esc,priv_esc,cracking;dirb;dnsteal;privilege_escalation;reverse_shell;service_scans;service_stop;webshell;wpscan,a_574351dae0a7,priv_esc,priv_esc,cracking;dirb;dnsteal;privilege_escalation;reverse_shell;service_scans;service_stop;webshell;wpscan
